ts,tagID,fix,bearing,longitude,latitude,plotlocation
3/31/16 8:23,51,1,NA,-77.9373,18.03816,MI
3/31/16 10:53,45,33,NA,-77.9434,18.04306,MM
4/1/16 11:35,45,34,NA,-77.94307987,18.04264985,MM A.5 1.5
4/1/16 12:00,60,21,NA,-77.9423,18.04007,MII
4/1/16 12:55,45,35,NA,-77.943,18.04289,MM
4/1/16 13:10,34,29,NA,-77.9427,18.04049,MII
4/1/16 13:23,60,22,NA,-77.9423,18.03999,MII
4/1/16 13:30,466,55,NA,-77.9416,18.04026,MII
4/1/16 14:24,34,30,NA,-77.9428,18.04054,MII
4/1/16 14:36,60,23,NA,-77.9422,18.03999,MII
4/1/16 15:25,42,15,NA,-77.9365,18.03817,MI
4/1/16 15:53,42,16,NA,-77.9366,18.03809,MI
4/4/16 10:31,34,31,NA,-77.9425,18.0405,MM
4/4/16 12:20,34,33,NA,-77.9427,18.04061,MII
4/4/16 12:30,60,26,NA,-77.9422,18.03996,MII
4/4/16 13:21,34,34,NA,-77.9426,18.04082,MII
4/4/16 13:29,60,27,NA,-77.9422,18.04002,MII
4/5/16 10:45,34,35,NA,-77.9427,18.04074,MII
4/5/16 10:50,60,28,NA,-77.9423,18.04005,MII
4/5/16 11:24,34,36,NA,-77.943,18.041,MM
4/5/16 11:35,60,29,NA,-77.9422,18.03999,MII
4/5/16 13:05,33,1,NA,-77.935,18.03642,LI
4/5/16 13:37,51,2,NA,-77.9374,18.0384,MI
4/6/15 7:13,42,18,NA,-77.9364,18.0378,MI
4/6/15 7:59,33,2,NA,-77.9351,18.03645,LI
4/6/15 8:15,42,19,NA,-77.9365,18.03791,MI
4/6/15 9:08,60,30,NA,-77.9423,18.03995,MII
4/6/15 9:25,34,37,NA,-77.9428,18.0407,MII
4/6/15 10:05,34,38,NA,-77.9426,18.0407,MII
4/6/15 10:20,60,31,NA,-77.9423,18.03985,MII
4/7/16 7:08,42,20,NA,-77.9366,18.03778,MI
4/7/16 7:29,51,3,NA,-77.93698833,18.038165,MI E 3
4/7/16 8:03,33,2,NA,-77.935,18.03622,LI
4/7/16 8:40,51,4,NA,-77.9372,18.03826,MI
4/7/16 8:54,42,21,NA,-77.9365,18.03771,MI
4/7/16 10:48,34,39,NA,-77.9426,18.04075,MM
4/7/16 11:00,60,32,NA,-77.9422,18.04035,MII
4/7/16 11:30,45,43,NA,-77.9431,18.04293,MM
4/7/16 11:40,34,40,NA,-77.9429,18.04082,MM
4/7/16 11:48,60,33,NA,-77.9422,18.04019,MII
4/7/16 12:06,45,44,NA,-77.9431,18.04296,MM
4/7/16 12:20,34,41,NA,-77.9428,18.04077,MM
4/7/16 12:25,60,34,NA,-77.9423,18.04014,MII
4/8/16 9:48,60,35,NA,-77.9415,18.04166,MII
4/8/16 10:35,45,44,NA,-77.9432,18.04304,MM
4/9/16 6:40,45,45,NA,-77.9431,18.0428,MM
4/9/16 9:33,36,9,NA,-77.9406,18.0428,LII
4/9/16 9:39,34,44,NA,-77.9422,18.0429,LII
4/10/16 6:45,60,38,NA,-77.941,18.04218,LII
