plotlocation,x,y,longitude,latitude
IRI N 9.5,188705.2227,1997559.9,-77.94023878,18.04427766
LIA E.5 3,189508.9951,1997155.083,-77.9325937,18.04073878
LIA E.5 3.5,189526.7121,1997122.63,-77.93242166,18.04044838
LIA E.5 5,189566.9297,1997072.457,-77.93203466,18.04000124
LIA E.5 6,189567.6632,1997022.358,-77.93202025,18.03954912
LIA E.5 7,189571.6274,1996974.447,-77.93197567,18.03911721
LIA E 5,189540.3226,1997073.669,-77.93228591,18.04000837
LIA E 5.5,189542.598,1997049.737,-77.93226086,18.03979266
LIA E 6,189543.127,1997023.526,-77.93225194,18.03955614
LIA E 6.5,189545.813,1996996.082,-77.93222249,18.03930879
LIA E7,189545.5807,1996973.005,-77.93222123,18.03910046
LIA F.5 5,189615.9186,1997079.356,-77.93157344,18.04007052
LIA F.5 6,189615.209,1997023.676,-77.93157181,18.03956782
LIA F.5 7,189619.9308,1996977.181,-77.93152029,18.0391488
LIA F 4,189554.1748,1997117.341,-77.93216174,18.04040456
LIA F 5,189593.8694,1997076.739,-77.93178111,18.04004374
LIA F 5.5,189591.9086,1997049.763,-77.93179557,18.03979996
LIA F 6,189593.9836,1997024.624,-77.93177223,18.03957333
LIA F 6.5,189596.9932,1996999.233,-77.93174003,18.03934457
LIA F 7,189595.5744,1996973.859,-77.93174962,18.03911532
LIA G 5,189642.2878,1997079.991,-77.93132472,18.04008003
LIA G 5.5,189639.3664,1997053.232,-77.93134828,18.03983806
LIA G 6,189640.8758,1997027.889,-77.93133025,18.03960952
LIA G 6.5,189641.8755,1997000.807,-77.93131676,18.0393652
LIA G 7,189646.375,1996978.922,-77.93127103,18.03916829
LII H.5 10,188721.9826,1997283.663,-77.94003917,18.04178657
LII H.5 11,188769.0965,1997288.935,-77.9395954,18.04184092
LII H.5 5,188459.9439,1997268.991,-77.94250954,18.0416165
LII H.5 7,188568.4797,1997281.748,-77.94148732,18.04174725
LII H.5 8,188623.1025,1997280.001,-77.94097164,18.04173932
LII H 10,188722.3216,1997260.665,-77.94003252,18.04157903
LII H 10.5,188748.7686,1997263.642,-77.93978341,18.0416097
LII H 11,188771.9461,1997263.963,-77.93956476,18.04161592
LII H 5,188451.2255,1997246.999,-77.9425885,18.04141673
LII H 5.5,188486.076,1997243.827,-77.94225918,18.0413931
LII H 6,188513.1288,1997241.454,-77.94200356,18.04137557
LII H 6.5,188545.7522,1997249.397,-77.94169692,18.04145196
LII H 7,188570.5705,1997249.524,-77.94146275,18.04145667
LII H 7.5,188595.4448,1997253.151,-77.94122859,18.04149299
LII H 8,188618.8519,1997255.629,-77.94100809,18.04151871
LII H 8.5,188648.4532,1997251.533,-77.94072816,18.04148599
LII H 9,188673.5363,1997255.078,-77.94049201,18.04152159
LII H 9.5,188693.7804,1997258.005,-77.94030143,18.04155092
LII I.5 10,188716.5085,1997339.401,-77.94009919,18.04228891
LII I.5 5,188467.1966,1997322.695,-77.94244917,18.04210231
LII I.5 6,188517.5678,1997317.582,-77.9419731,18.04206339
LII I.5 7,188565.2654,1997325.697,-77.94152425,18.04214349
LII I.5 8,188617.4295,1997330.393,-77.94103274,18.04219337
LII I.5 9,188664.3908,1997334.172,-77.94059018,18.04223423
LII I 10,188717.8829,1997311.942,-77.9400821,18.04204125
LII I 10.5,188744.4873,1997314.533,-77.93983145,18.04206846
LII I 11,188766.3825,1997319.869,-77.93962565,18.04211977
LII I 5,188464.4134,1997291.389,-77.94247073,18.04181932
LII I 5.5,188492.7668,1997295.67,-77.94220383,18.04186203
LII I 6,188516.7911,1997292.651,-77.94197669,18.04183824
LII I 6.5,188545.015,1997301.794,-77.94171174,18.04192482
LII I 7,188569.9134,1997299.16,-77.94147641,18.04190462
LII I 7.5,188595.3389,1997301.162,-77.9412368,18.04192635
LII I 8,188618.5412,1997308.39,-77.94101895,18.04199493
LII I 8.5,188651.7858,1997311.414,-77.94070571,18.042027
LII I 9,188668.4696,1997305.715,-77.94054742,18.04197794
LII I 9.5,188694.2909,1997307.707,-77.94030407,18.04199964
LII J.5 5,188461.5692,1997368.908,-77.94250921,18.04251865
LII J.5 6,188518.529,1997378.835,-77.94197323,18.04261643
LII J.5 7,188562.8218,1997374.938,-77.9415547,18.04258762
LII J.5 8,188615.7866,1997378.121,-77.94105541,18.04262397
LII J.5 9,188662.8656,1997385.838,-77.94061233,18.04270039
LII J 10,188711.7654,1997361.217,-77.94014722,18.04248516
LII J 10.5,188737.7896,1997362.812,-77.93990189,18.0425033
LII J 11,188762.606,1997366.148,-77.93966823,18.04253697
LII J 5,188464.949,1997346.762,-77.94247399,18.04231922
LII J 5.5,188486.9431,1997342.965,-77.94226589,18.04228811
LII J 6,188510.7419,1997354.751,-77.9420431,18.04239792
LII J 6.5,188537.3419,1997351.987,-77.94179168,18.04237679
LII J 7,188562.9094,1997349.072,-77.94154999,18.04235415
LII J 7.5,188583.7138,1997352.979,-77.94135427,18.0423924
LII J 8,188616.4768,1997355.332,-77.94104547,18.04241835
LII J 8.5,188639.0465,1997354.446,-77.94083237,18.0424136
LII J 9,188665.8841,1997357.836,-77.94057964,18.04244805
LII J 9.5,188692.2534,1997357.492,-77.94033077,18.04244874
LII K.5 11,188752.637,1997433.347,-77.93977238,18.04314212
LII K.5 5,188459.7756,1997421.173,-77.94253399,18.04299016
LII K.5 6,188510.0557,1997424.734,-77.94206008,18.04302953
LII K.5 7,188559.6009,1997420.831,-77.94159199,18.04300142
LII K.5 8,188614.6206,1997425.179,-77.94107348,18.04304857
LII K.5 9,188662.6085,1997420.784,-77.94062,18.04301579
LII K 10,188708.3658,1997399.095,-77.94018498,18.04282659
LII K 10.5,188735.0253,1997402.628,-77.93993395,18.04286231
LII K 11,188761.6628,1997408.31,-77.93968346,18.04291741
LII K 5,188457.3812,1997401.718,-77.94255366,18.04281421
LII K 5.5,188484.5706,1997399.512,-77.94229677,18.0427982
LII K 6,188514.3459,1997400.266,-77.94201593,18.04280929
LII K 6.5,188533.7094,1997394.757,-77.94183238,18.04276234
LII K 7,188562.2035,1997397.94,-77.94156399,18.04279516
LII K 7.5,188589.3035,1997395.551,-77.94130792,18.04277749
LII K 8,188617.5994,1997401.972,-77.94104188,18.04283952
LII K 8.5,188638.324,1997400.647,-77.94084613,18.04283054
LII K 9,188662.0698,1997399.389,-77.94062187,18.04282259
LII K 9.5,188682.8268,1997400.963,-77.94042625,18.04283978
LII L 10,188702.1697,1997449.73,-77.94025105,18.04328275
LII L 10.5,188722.4889,1997456.922,-77.9400604,18.04335059
LII L 11,188746.8217,1997458.967,-77.9398311,18.04337255
LII L 5,188460.0313,1997449.675,-77.94253586,18.04324748
LII L 5.5,188486.1351,1997452.193,-77.94228992,18.04327395
LII L 6,188511.8259,1997448.418,-77.94204694,18.04324357
LII L 6.5,188536.5968,1997451.969,-77.94181373,18.04327919
LII L 7,188557.7298,1997451.811,-77.9416143,18.0432808
LII L 7.5,188583.6676,1997443.838,-77.94136835,18.04321255
LII L 8,188612.6362,1997451.394,-77.94109614,18.04328492
LII L 8.5,188631.576,1997450.758,-77.94091733,18.0432819
LII L 9,188657.5667,1997449.947,-77.94067196,18.04327831
LIIR E.5 10,188583.7752,1997712.374,-77.94140767,18.04563654
LIIR E.5 8,188482.8551,1997709.567,-77.94235954,18.0455967
LIIR E.5 9,188534.9846,1997717.222,-77.94186879,18.04567329
LIIR E 10,188582.8626,1997733.332,-77.94141942,18.04582559
LIIR E 8,188481.3031,1997734.045,-77.94237786,18.04581743
LIIR E 8.5,188506.1865,1997734.431,-77.94214312,18.04582449
LIIR E 9,188530.14,1997737.002,-77.94191747,18.04585114
LIIR E 9.5,188556.6596,1997739.81,-77.94166765,18.0458803
LIIR F.5 10,188584.5891,1997666.639,-77.94139312,18.04522382
LIIR F.5 11.5,188622.4434,1997679.517,-77.94103785,18.04534551
